Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
dsbD-yjdC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dsbD // dicD	4363345 // 4362733	4365042 // 4363308	-	dsbD-yjdC
prfB-lysS		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lysS // prfB	3033657 // 3035184	3035174 // 3036282	-	prfB-lysS
ygdG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygdG	2931055	2931810	+	ygdG
mug		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mug	3214967	3215473	-	mug
mliC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mliC	1718066	1718395	-	mliC
folD-ybcJ	folDp	557781		folD // ybcJ	556875 // 556661	557741 // 556873	-	folD-ybcJ
yheO-tusDCB	yheOp2	3476541		tusB // tusC // tusD // yheO	3474678 // 3474973 // 3475332 // 3475718	3474965 // 3475332 // 3475718 // 3476440	-	yheO-tusDCB
fklB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		fklB	4428935	4429555	+	fklB
yqeG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqeG	2985847	2987076	+	yqeG
insH-9		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insH9	3130214	3131194	+	insH-9
rprA	rprAp	1770372		rprA	1770372	1770477	+	rprA
hypBCDE-fhlA	hypBp	2850839		fhlA // hypE // hypD // hypC // hypB	2854338 // 2853254 // 2852136 // 2851864 // 2851001	2856416 // 2854264 // 2853257 // 2852136 // 2851873	+	hypBCDE-fhlA
tfaD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tfaD	581534	582097	+	tfaD
bglG	bglGp2	3906717		bglG	3905731	3906567	-	bglG
yjgL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgL	4475437	4477251	+	yjgL
speF-potE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		speFL // potE // speF	720718 // 716946 // 718262	720822 // 718265 // 720460	-	speF-potE
ygeY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygeY	3008764	3009975	+	ygeY
bcsABZC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		bcsC // bcsZ // bcsB // bcsA	3685700 // 3689155 // 3690268 // 3692618	3689173 // 3690261 // 3692607 // 3695236	-	bcsABZC
dpiBA	dpiBp1	651984		dpiA // dpiB	653862 // 652235	654542 // 653893	+	dpiBA
tolC-ygiBC	tolCp2	3178012		ygiC // ygiB // tolC	3180421 // 3179744 // 3178115	3181581 // 3180415 // 3179596	+	tolC-ygiBC
yjhF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjhF	4520671	4522020	-	yjhF
ygfF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygfF	3045158	3045901	-	ygfF
nimT	nimTp	1875657		nimT	1875673	1876854	+	nimT
rpsO	rpsOp	3311786		rpsO	3311415	3311684	-	rpsO
ybeX-lnt		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybeX // lnt	690906 // 689343	691784 // 690881	-	ybeX-lnt
yjiXA	yjiXp			yjiX // yjiA	4588876 // 4587909	4589079 // 4588865	-	yjiXA
yqgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqgA	3109553	3110260	+	yqgA
pitA	pitAp	3637612		pitA	3637642	3639141	+	pitA
valZ-lysY		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		lysY // valZ	781147 // 781068	781222 // 781143	+	valZ-lysY
idnDOTR	idnDp	4494435		idnR // idnT // idnO // idnD	4490141 // 4491206 // 4492587 // 4493375	4491139 // 4492525 // 4493351 // 4494406	-	idnDOTR // idnD
radA-nadR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nadR // radA	4627315 // 4625912	4628547 // 4627294	+	radA-nadR
ygiQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygiQ	3158927	3161146	-	ygiQ
yebK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yebK	1936652	1937521	+	yebK
slyA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		slyA	1720390	1720824	-	slyA
ybiI	ybiIp6	838484		ybiI	838190	838456	-	ybiI
idnR	idnRp	4491182		idnR	4490141	4491139	-	idnR
insQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insQ	1503657	1504865	+	insQ
ygiF-glnE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygiF // glnE	3199664 // 3196801	3200965 // 3199641	-	ygiF-glnE
yedK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedK	2009821	2010489	+	yedK
thiI	thiIp	441468		thiI	441549	442997	+	thiI
clpA	clpAp3	923210		clpA	923264	925540	+	clpA
yqjG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqjG	3251024	3252010	+	yqjG
yeeJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeJ	2044995	2052014	+	yeeJ
yafV	yafVp	240216		yafV	239419	240189	-	yafV
ycaL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycaL	960264	961028	+	ycaL
nlpI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nlpI	3308040	3308924	-	nlpI
sbmC	sbmCp1	2081325		sbmC	2080789	2081262	-	sbmC
ybeQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybeQ	675570	676547	-	ybeQ
rlmI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rlmI	1028779	1029969	-	rlmI
yggX-mltC	yggXp	3103993		mltC // yggX	3104433 // 3104093	3105512 // 3104368	+	yggX-mltC
yhfK	yhfKp			yhfK	3486791	3488893	+	yhfK
ptsHI-crr	ptsHp3	2533507		ptsH // ptsI // crr	2533764 // 2534066 // 2535834	2534021 // 2535793 // 2536343	+	ptsHI-crr
yhcB	yhcBp	3380182		zapG	3380191	3380589	+	yhcB
yegP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yegP	2165189	2165521	+	yegP
yhdH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhdH	3403484	3404458	+	yhdH
ghrA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ghrA	1097886	1098824	+	ghrA
yqgB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqgB	3085920	3086051	-	yqgB
bfd-bfr		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		bfd // bfr	3466797 // 3466249	3466991 // 3466725	-	bfd-bfr
yehHI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yehH // yehI	2197410 // 2200279	2200269 // 2203911	+	yehHI
yidI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidI	3856415	3856864	+	yidI
pabC-mltG-tmk-holB-ycfH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycfH // holB // tmk // mltG // pabC	1156777 // 1155762 // 1155124 // 1154112 // 1153300	1157574 // 1156766 // 1155765 // 1155134 // 1154109	+	pabC-mltG-tmk-holB-ycfH
ygbA	ygbAp	2856828		ygbA	2856453	2856806	-	ygbA
ligT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		thpR	161501	162031	-	ligT
greB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		greB	3536812	3537288	+	greB
yjfP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjfP	4416952	4417701	+	yjfP
stfE-tfaE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		stfE // tfaE	1209119 // 1208517	1209655 // 1209119	-	stfE-tfaE
ptsG	ptsGp1	1157766		ptsG	1157869	1159302	+	ptsG
mnmA	mnmAp			mnmA	1192667	1193773	-	mnmA
yhhH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhH	3623399	3623782	+	yhhH
yjjX		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjjX	4633233	4633745	-	yjjX
ycgI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgI	1223564	1223907	+	ycgI
ung	ungp	2716738		ung	2716754	2717443	+	ung
mreBCD	mreBp2	3401193		mreD // mreC // mreB	3398387 // 3398875 // 3400044	3398875 // 3399978 // 3401087	-	mreBCD
yhjD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhjD	3673362	3674375	+	yhjD
elaA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		elaA	2381082	2381543	-	elaA
yoaI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yoaI	1874078	1874182	-	yoaI
insZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insZ	1294426	1295322	-	insZ
insL1		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insL1	15445	16557	+	insL1
ysaA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ysaA	3741109	3741582	-	ysaA
yfcG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfcG	2420621	2421268	+	yfcG
ytfB	ytfBp	4428819		ytfB	4428079	4428717	-	ytfB
ymjA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ymjA	1357423	1357668	-	ymjA
ilvA	ilvAp	3955235		ilvA	3955331	3956875	+	ilvA
coaE-zapD-yacG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		coaE // zapD // yacG	112599 // 111856 // 111649	113219 // 112599 // 111846	-	coaE-zapD-yacG
paaZ	paaZp	1453670		paaZ	1451597	1453642	-	paaZ // maoC
htrL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		htrL	3792826	3793683	-	htrL
yfdRST		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfdT // yfdS // yfdR	2475873 // 2475511 // 2474984	2476178 // 2475873 // 2475520	+	yfdRST
ttcA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ttcA	1411013	1411948	-	ttcA
map-glnD-dapD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		map // glnD // dapD	188712 // 185978 // 185123	189506 // 188650 // 185947	-	map-glnD-dapD
hupB	hupBp1	461442		hupB	461451	461723	+	hupB
glvCBG-ysdC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		glvC // glvB // glvG	3862497 // 3861987 // 3861173	3863603 // 3862472 // 3861987	-	glvCBG-ysdC
cysZ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cysZ	2531463	2532224	+	cysZ
ydbK	ydbKp	1440831		ydbK	1437260	1440784	-	ydbK
srlR	srlRp	2828860		srlR	2829047	2829820	+	srlR // gutR
kup	kupp1	3931103		kup	3931316	3933184	+	kup
nudK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		nudK	2582903	2583478	-	nudK
sokB	sokBp	1492119		sokB	1492119	1492175	+	sokB
yrdD-rimN-aroE-yrdB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yrdB // aroE // tsaC // yrdD	3429766 // 3430020 // 3430843 // 3431420	3430023 // 3430838 // 3431415 // 3431962	-	yrdD-rimN-aroE-yrdB
perR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		perR	269289	270182	-	perR
gcvP	gcvPp			gcvP	3046168	3049041	-	gcvP
yceD-rpmF	yceDp1	1146649		rpmF // yceD	1147367 // 1146794	1147540 // 1147315	+	yceD-rpmF
pldB-yigL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yigL // pldB	4010200 // 4009170	4011000 // 4010192	+	pldB-yigL
pepB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pepB	2655075	2656358	-	pepB
yfbN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfbN	2387710	2388426	-	yfbN
mcbR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mcbR	1520262	1520927	+	mcbR
allA	allAp	532390		allA	532451	532933	+	allA
ykgJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ykgJ	303853	304182	-	ykgJ
rrlB-rrfB	rrlBp			rrfB // rrlB	4171637 // 4168641	4171756 // 4171544	+	rrlB-rrfB
yihQ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yihQ	4067240	4069276	-	yihQ
dcm-vsr		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		vsr // dcm	2030448 // 2030899	2030918 // 2032317	-	dcm-vsr
kgtP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kgtP	2724448	2725746	-	kgtP
ygeV	ygeVp	3005847		ygeV	3004008	3005786	-	ygeV
yddAB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yddA // yddB	1577657 // 1575247	1579342 // 1577619	-	yddAB
slyB	slyBp1	1719777		slyB	1719876	1720343	+	slyB
yahH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yahH	339769	340089	+	yahH
pspBCDE	pspBp			pspE // pspD // pspC // pspB	1369689 // 1369393 // 1369025 // 1368801	1370003 // 1369614 // 1369384 // 1369025	+	pspBCDE
priA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		priA	4124612	4126810	-	priA
yfjM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfjM	2765513	2765776	-	yfjM
yneK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yneK	1615763	1616878	+	yneK
iprA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		iprA	394506	395129	+	iprA
cbrA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cbrA	3869377	3870441	+	cbrA
queA	queAp	424985		queA	425011	426081	+	queA
yjbD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjbD	4231359	4231631	-	yjbD
yqaE	yqaEp	2797085		yqaE	2796870	2797028	-	yqaE
dld		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dld	2222185	2223900	+	dld
rem		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rem	1644651	1644902	-	rem
rne	rnep4	1144421		rne	1141182	1144367	-	rne
gltP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		gltP	4294481	4295794	+	gltP
cas3	cas3p			cas3	2884553	2887219	-	cas3
ynfL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ynfL	1668699	1669592	-	ynfL
dnaX	dnaXp	492056		dnaX	492092	494023	+	dnaX
bglG	bglGp1	3906697		bglG	3905731	3906567	-	bglG
talA	talAp	2578608		talA	2578666	2579616	+	talA
epmB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		epmB	4374629	4375657	-	epmB
mltA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mltA	2946081	2947178	-	mltA
trmC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mnmC	2441764	2443770	+	trmC
ydhF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydhF	1724736	1725632	-	ydhF
sfmHF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sfmF // sfmH	563330 // 562336	563845 // 563319	+	sfmHF
ydbK-ompN	ydbKp	1440831		ompN // ydbK	1435760 // 1437260	1436893 // 1440784	-	ydbK-ompN
fre	frep2	4026485		fre	4026527	4027228	+	fre
qorB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		qorB	4433164	4434024	-	qorB
ygeF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygeF	2990554	2991043	+	ygeF
mcaS	mcaSp	1405751		mcaS	1405658	1405751	-	mcaS // isrA
ydiNB-aroD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		aroD // ydiB // ydiN	1774686 // 1773789 // 1772512	1775444 // 1774655 // 1773777	+	ydiNB-aroD
macB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		macB	920347	922293	+	macB
ybdF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybdF	605518	605886	-	ybdF
creD	creDp	4638160		creD	4638178	4639530	+	creD
yjgR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgR	4488561	4490063	-	yjgR
yqeB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yqeB	3012614	3014239	-	yqeB
tyrS-pdxY	tyrSp1	1717269		pdxY // tyrS	1715026 // 1715948	1715889 // 1717222	-	tyrS-pdxY
ynjI	ynjIp	1844900		ynjI	1843831	1844871	-	ynjI
tatE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		tatE	658947	659150	+	tatE
yjhP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjhP	4532437	4533183	-	yjhP
pflB	pflBp1	953579		pflB	951272	953554	-	pflB
cysS	cysSp	554577		cysS	554611	555996	+	cysS
chiZPQ	chiZp	708236		chiZ // chiQ // chiP	708236 // 709790 // 708334	708333 // 710116 // 709740	+	chiZPQ // ybfMN // chiP-chiQ // chiP-ybfN
exuT	exuTp1	3245043		exuT	3245224	3246522	+	exuT
pppA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pppA	3113543	3114352	-	pppA
yobF-cspC	yobFp2	1907617		yobF // cspC	1907448 // 1907226	1907591 // 1907435	-	yobF-cspC
purT	purTp	1930857		purT	1930881	1932059	+	purT
nadAp // pnuC // nadA	nadAp	782061		pnuC // nadA	783166 // 782085	783885 // 783128	+	
lacZYA	lacZp4	366377		lacA // lacY // lacZ	361249 // 361926 // 363231	361860 // 363179 // 366305	-	lacZYA
coaA	coaAp	4175107		coaA	4174076	4175026	-	coaA
fimB	fimBp3			fimB	4540957	4541559	+	fimB
parC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		parC	3163715	3165973	-	parC
gltA	gltAp2	754670		gltA	753185	754468	-	gltA
ygiV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygiV	3168749	3169231	-	ygiV
yecDE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yecE // yecD	1951395 // 1950832	1952213 // 1951398	+	yecDE
sraA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		sraA	458728	458784	-	sraA
ybiO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiO	843255	845480	-	ybiO
asnB	asnBp	699222		asnB	697513	699177	-	asnB
ybdR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybdR	642088	643326	+	ybdR
uspA	uspAp3	3640000		uspA	3640111	3640545	+	uspA
ygjI		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ygjI	3226234	3227667	+	ygjI
tqsA	tqsAp	1673890		tqsA	1673913	1674947	+	tqsA
ybjQ-amiD	ybjQp	904517		amiD // ybjQ	904913 // 904593	905743 // 904916	+	ybjQ-amiD
yhaKL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhaL // yhaK	3255043 // 3254319	3255207 // 3255020	+	yhaKL
yeeO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeeO	2058203	2059846	-	yeeO
yahN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yahN	345666	346337	-	yahN
ycbJ	ycbJp	971672		ycbJ	971752	972645	+	ycbJ
malZ	malZp	422495		malZ	422518	424332	+	malZ
ybbB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		selU	530132	531226	-	ybbB
plaP		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plaP	2085704	2087062	-	plaP
ybhA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybhA	797613	798431	-	ybhA
gfcE-etp-etk		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		gfcE // etp // etk	1044664 // 1044230 // 1042030	1045803 // 1044676 // 1044210	-	gfcE-etp-etk
mcrBC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mcrC // mcrB	4576912 // 4577958	4577958 // 4579337	-	mcrBC
ftsB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ftsB	2872509	2872820	-	ftsB
pyrLBI	pyrLp2	4472553		pyrL // pyrI // pyrB	4472399 // 4470986 // 4471460	4472533 // 4471447 // 4472395	-	pyrLBI
yhcO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhcO	3385857	3386129	-	yhcO
insE5EF5F5		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insF5 // insE5 // insEF5	2170532 // 2170236	2171398 // 2170535	+	insE5EF5F5
yhhA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhhA	3586943	3587383	+	yhhA
ymdA	ymdAp	1105201		ymdA	1105414	1105725	+	ymdA
kefGB-yheV		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kefG // kefB // yheV	3480607 // 3478802 // 3478592	3481161 // 3480607 // 3478792	-	kefGB-yheV
yidR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidR	3868062	3869309	-	yidR
metJ	metJp1	4128558		metJ	4128078	4128395	-	metJ
yfgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		rodZ	2641831	2642844	-	yfgA
yzgL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yzgL	3563724	3564005	-	yzgL
yeiH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yeiH	2249717	2250766	+	yeiH
yjgA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yjgA	4457314	4457865	-	yjgA
icdC		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		icdC	1211413	1211577	+	icdC
cysE	cysEp	3782681		cysE	3781741	3782562	-	cysE
ybiB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ybiB	835248	836210	+	ybiB
yhiI-rbbA-yhhJ		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yhiI // rbbA // yhhJ	3629535 // 3626803 // 3625679	3630602 // 3629538 // 3626803	-	yhiI-rbbA-yhhJ
mqo		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mqo	2305108	2306754	-	mqo
rimO	rimOp	878070		rimO	876710	878035	-	rimO // yliG
ycgN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ycgN	1228815	1229276	+	ycgN
mreB	mreBp2	3401193		mreB	3400044	3401087	-	mreB
pdeK		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		pdeK	3683630	3685618	-	pdeK
yfbL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfbL	2385860	2386831	+	yfbL
yohD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yohD	2225801	2226379	+	yohD
yciA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yciA	1311848	1312246	-	yciA
insA1B1AB1		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		insA1 // insB1 // insAB1	20233 // 19811	20508 // 20314	-	insA1B1AB1
glrR-glnB		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		glnB // glrR	2687070 // 2687469	2687408 // 2688803	-	glrR-glnB
yibF	yibFp	3761975		yibF	3761347	3761955	-	yibF
folC-dedD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		folC // dedD	2431674 // 2431022	2432942 // 2431684	-	folC-dedD
zupT	zupTp	3182433		zupT	3182550	3183323	+	zupT
yacL	yacLp	134339		yacL	134388	134750	+	yacL
rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	rsmHp1	90010		ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH	92485 // 106557 // 105305 // 103982 // 103155 // 102233 // 100765 // 99644 // 98403 // 97087 // 96002 // 94650 // 93166 // 91413 // 91032 // 90094	92658 // 107474 // 106456 // 105244 // 103985 // 103153 // 102240 // 100711 // 99647 // 98403 // 97084 // 96008 // 94653 // 93179 // 91397 // 91035	+	rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
glpR	glpRp1	3560891		glpR	3559848	3560605	-	glpR
yicG		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yicG	3818874	3819491	+	yicG
yfdE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfdE	2488023	2489168	-	yfdE
kilR-ydaE		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		kilR // ydaE	1418008 // 1417838	1418229 // 1418008	-	kilR-ydaE
carB	carBp	30775		carB	30817	34038	+	carB
yaeR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yaeR	211877	212266	+	yaeR
hupB	hupBp4	461305		hupB	461451	461723	+	hupB
yidA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yidA	3876140	3876952	-	yidA
murQP-yfeW		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfeW // murP // murQ	2548102 // 2546673 // 2545773	2549406 // 2548097 // 2546669	+	murQP-yfeW
ydcO		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydcO	1504905	1506080	-	ydcO
ydbA		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydbA			+	ydbA
yzfA	yzfAp2	4448294		yzfA	4447976	4448245	-	yzfA // ileR
ldtF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		dpaA	245065	245805	-	ldtF
yifN		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yifN	3960012	3960460	-	yifN
yedD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yedD	2007677	2008090	-	yedD
ydcH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydcH	1498651	1498875	+	ydcH
mmuPM		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		mmuM // mmuP	276715 // 275325	277647 // 276728	+	mmuPM
argQ	argQp			argQ	2817784	2817860	-	argQ
baeSR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		baeS // baeR	2162876 // 2164276	2164279 // 2164998	+	baeSR
yfhR		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfhR	2664390	2665244	+	yfhR
yfeH		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfeH	2526946	2527944	+	yfeH
rhsE-ydcD		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		ydcD // rhsE	1529922 // 1527890	1530404 // 1529938	+	rhsE-ydcD
hemA	hemAp2	1263583		hemA	1263714	1264970	+	hemA
nuoMN	nuoMp			nuoN // nuoM	2390048 // 2391512	2391505 // 2393041	-	nuoMN
grxA	grxAp	890776		grxA	890496	890753	-	grxA
yihV-csqR	yihVp1	4073712		csqR // yihV	4074669 // 4073739	4075454 // 4074635	+	yihV-csqR
yfiL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfiL	2741360	2741725	+	yfiL
yghT		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yghT	3134131	3134823	+	yghT
ydeQ	ydeQp			ydeQ	1586820	1587734	-	ydeQ
nagA	nagAp	703175		nagA	701603	702751	-	nagA
yahL		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yahL	344176	344991	+	yahL
glnW-metU-glnVX	glnWp			glnX // glnV // metU // glnW	696430 // 696542 // 696664 // 696756	696504 // 696616 // 696740 // 696830	-	glnW-metU-glnVX
yijF		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yijF	4137040	4137657	-	yijF
yfjU		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		yfjU	2771840	2772154	-	yfjU
ampH	ampHp1	396363		ampH	395130	396287	-	ampH
ppnP	ppnPp	408148		ppnP	408177	408461	+	ppnP
uppS-cdsA	ispUp2	194901		cdsA // ispU	195677 // 194903	196534 // 195664	+	uppS-cdsA
xylE	xylEp	4242291		xylE	4240779	4242254	-	xylE
lgt-thyA	lgtp	2966121		thyA // lgt	2964361 // 2965162	2965155 // 2966037	-	lgt-thyA
